,amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
0,"34,780",Help Victor Beat MS with Stem Cell Transplantation,Canadian Dollar,, $40k ,182.0,"Hello, We are a group of Victor's family and friends and we are trying to
  help him raise funds to finance a trip overseas, to attend a medical
  centre that specializes in Stem Cell Treatments. The exact centre and
  the exact treatment are yet to be determined.This will depend on the
  amount of funds raised. There are many variables involved in this type
  of treatment, each with their own respective cost. An example would
  be, an Autologous  transplant (collecting a patient's own
  blood-forming stem cells), versus an Allogeneic transplant (collecting
  stem cells from a matching donor). Fortunately, it's a very hopeful
  time for people suffering from Multiple Sclerosis and other
  Auto-Immune diseases. There have been many success stories (some of
  which you can view on YouTube). This type of treatment is becoming
  mainstream in many countries around the world. Sadly for Victor,
  Canada is still in its developmental stage. Please take a moment and read a little bit about Victor's life and
  his battle with MS. If you can financially manage a small donation, it
  would be truly appreciated. A donation can be made right from this
  page. Victor will receive 95% of the funds, and this wonderful website
  will receive 5%. Whether you can donate or not, please be so kind as
  to pass this page along, via email or social media, to as many people
  as you can.  We thank you and are grateful for your support. Most of you visiting this fundraising page already know Victor, but
  for those of you who don't please let me introduce him. Victor is 59
  years old and has been fighting an uphill battle with Multiple
  Sclerosis for 26 years. It has been quite a battle but he has always
  fought with courage and grace.  Victor first felt the symptoms of MS
  shortly after completing his first and only triathlon.  Soon after
  that race, he was eager to begin training in hopes of improving upon
  his time in the next race. It was then that the symptoms hit him, and
  they had an immediate and devastating effect.  He went from running 17
  miles a day to not being able to run one block. In 1984, just after completing college, Victor found employment with
  the CIBC in the Savings Application Department as a Programmer. Two
  years later he transferred to Host Facilities as a Programmer.  His
  talents were recognized  and he was promoted to manage a group of 7
  programmers. His team was the infrastructure and the bank's
  applications ran on their software. Victor was prepared to leave the bank due to his MS in 1999 when the
  logistics of getting to work became difficult, but in the year 2000,
  (potential Y2K crisis) he stayed on to ensure all applications ran
  smoothly. Victor left his managerial position shortly after this
  period and is now supported, in part, by longterm disability benefits. In 2010, Victor, his wife Michelle and his brother Tony, all went to
  Egypt to have the CCSVI (Chronic Cerebrospinal Venous Insufficiency) -
  Liberation treatment.  As you can imagine it was a quite an expensive
  endeavor. The physical benefits Victor experienced were remarkable but
  some affects were short lived. At that point, in 2010, Victor hadn't
  been able to move his right leg for many years. Amazingly, just a few
  hours after doctors placed catheters and balloon inflation into his
  collapsed and blocked veins, Victor was able to raise that same leg
  into the air.  When he returned home we could all see improvement and
  thought he was on his way to recovery.  Even his horrific Trigeminal
  Neuralgia pain was greatly reduced. Trigeminal Neuralgia
    is considered to be one of the most painful afflictions known.
    It is characterized by episodes of excruciating stabbing or
    electrical shock-like pains which hit one side of the face. The
    episodes of pain usually last up to two minutes and may occur
    spontaneously or be triggered by light stimulation. Victor has
    endured this affliction daily for over a decade. The CCSVI results lasted for approximately one year.  We believe the
  vein in his neck collapsed and became blocked once more. Due to the
  delicate nature of veins (as opposed to arteries), stents cannot be
  used. There is a risk of the stent becoming dislodged, migrating along
  the blood vessels and becoming lodged in the heart or lungs. Prior to the MS, Victor lived a very healthy lifestyle and continues
  to do so today. Beginning day one, Victor has not benefitted with any
  traditional medicine for his symptoms. In fact all prescribed options
  to manage pain only exacerbated his leg weakness. Research has since
  determined that as varied as MS symptoms may present so too are the
  outcomes with medication for Primary Progressive Multiple Sclerosis.
  To support his wellness, Victor employs various holistic forms. Some
  of the modalities include: Hyperbaric Oxygen treatments; Live Blood
  Cell Analysis; Reichian therapy; Homeopathy; Naturopathic Medicine; as
  well as following a strict diet and supplement regime. The financial
  impact has been staggering, but Victor attributes his longevity to
  these natural treatments. The driving force that gives Victor strength to endure this battle is
  his love for his family; his wife Michelle, daughter Simone, and son
  Kristian. He once stated to me that if he were able to go back in
  time, he would gladly suffer MS again if it meant he could spend his
  life with Michelle, and participate fully with their children while
  they strive to achieve their own personal and professional
  aspirations.  Victor is proud that both Simone and Kristian are
  excelling in university with a shared goal to positively impact
  healthcare for others. In the bottom left-hand corner of the above profile photo, there is a
  link to additional photos. Please feel free to have a glimpse at the
  amazing life Victor has lived, and is living. We, Victor's friends and family, thank you!",https://fundrazr.com/fundvictor
1,"1,690","Alinker! It’s me, Kristy! We are halfway home!",Canadian Dollar,, $2.8k ,16.0,"Hi there everyone! My name is Kristy, I’m here because mobility challenges suck! The Alinker is inspiring hope for a lot of us! Amazing! #selmablair #keepmoving #alinker Here in Halifax Nova Scotia Canada, the outdoors is the place to be!
  We are active and the Alinker is my ticket to inclusion, mobility,
  fitness & independence. When I am unstable mobility wise, I feel vulnerable and nervous to go
  out alone. The Alinker will change that for me. The Alinker is definitely the right choice for my lifestyle. In order
  to stay active the Alinker is the answer for me. It’s a humbling experience asking for financial support. Helping to
  purchase the Alinker Is exactly what I’m asking you lovelies :) please
  and thank you :) The company sets up the campaign with you (which is awesome) Thanks
  to some inspiring celebrities (including Selma Blair) who recognized
  the expense of good, functional, mobility devices  and “Boom”, Crowd
  Funding became available! It’s quite inspiring. Currently Medical plans do not cover a very broad range of mobility
  devices and that’s why campaigns like this are so important. Thanks for contributing! You All Rock! I’m so excited to walk the boardwalk on the ocean when I get my Alinker! Kris~",https://fundrazr.com/31WUvb
2,"1,745",Help Amylee to keep moving forward,Canadian Dollar,, $2.8k ,10.0,"Hi my name is Amylee. I'm 35 year old mother of two & wife. I
  also live with Multiple Sclerosis (10 years) which has caused
  epilepsy. Both of those cause me to have difficulty walking and cause
  extreme fatigue. I would really like to get an Alinker so I can feel
  like a functioning productive person again. So I can go on walks with
  my family, do my groceries myself, leave the house alone for the first
  time (I might be reaching but I can hope right? ). All funds raised
  will go to purchasing the Alinker. Please donate. Any amount can help
  me. Thank you for any and all help you can provide. I appreciate it
  immensely & so does my family. - Amylee",https://fundrazr.com/Amylee2215
3,"700,442",British Gut,,,,,"This is a unique, open collaboration between the TwinsUK team at King's College London and The American Gut Project (AGP) / The Microsetta Initiative to expand the study of the bacterial diversity to
    participants in Europe. If you are a participant living outside Europe and would like
    to participate, please refer to our American Gut Fundrazr page . Many
  people don't realize that the bacteria that live inside us play an
  incredibly important role in our health. There are so many of them:
  They make up 50 percent of the cells in our body and their most
  important jobs include manufacturing vitamins for us and breaking down
  and digesting our food. The trillions of bacteria in our gut weigh
  nearly 2 kg (over 4lbs). This community of bacteria can be thought of
  as an extra 'organ' which we call our ""microbiome"".  Recent
  research has discovered that small changes in this finely balanced
  community can affect our immune system, metabolism, body weight, mood
  and may even cause diseases such as Crohn's disease, irritable bowel
  syndrome, cancer, autoimmune disease, diabetes and heart disease. This is the first project of its kind in Europe, as an extension
    of the American Gut Project & The Microsetta Initiative, based
    at the University of California San Diego.  We have collaborated
    with TwinsUK at King’s College London so that those living in Europe
    can participate, and with your help, we will be able to discover
    more about the crucial relationship between our health and our
    microbiome, and on a personal level, you will be able to discover
    the bacterial profile of your own gut. With your help, we hope to be
    able to answer questions such as 'How much does our choice of
    lifestyle and diet influence our microbiome, and can we alter our
    microbiome to make us healthier?' We are discovering that each person is very different and has
    their own unique microbiome. More research is needed to work out
    what constitutes a 'healthy' microbiome, and which combinations of
    bacteria are beneficial and which ones should be avoided. In order
    to do this ambitious and much-needed project, we urgently need a
    large scale collection of human samples. Over ten thousand people
    have already signed up in America already through the American Gut
    Project-- but we need many more from Europe. The project mainly focuses on the gut as this is our main
    'microbial home', however, the study will also look at areas like
    the oral and skin, as these areas of the body may be influenced by
    the microbiome. Joining is simple! Select the kit you would like from the list
    of options on the left-hand side by clicking “Claim this perk” found
    on the right side (if you would like to receive a specific number of
    kits that isn’t listed as a perk, email us at info@britishgut.org ). You will receive your kit within 3 weeks after payment. Shipping within the U.K. first class should be around £2.90, but
    we recommend taking the sample to the post office to get the proper
    postage. Getting the postage right on the first try is important
    since samples that spend a long time in transit will likely not
    produce the highest quality results. After you have returned your
    sample to us, we will then sent it to the Knight Lab at the
    University of California San Diego to be processed and
  analyzed. We typically bulk ship samples back to the Knight
  Lab about every 2 months on dry ice to reduce shipping costs. Once
  your sample arrives at the Knight Lab (you'll get a notification when
  they have received your sample), processing takes 3-4
    months. We estimate that the whole process will take about
    4-6 months. Each kit contains a sample collection device (or multiple if you
    ordered more than one), an instruction packet on how to sample, and
    return envelope(s) to send your sample tube(s) back. Once we provide you with your results, you will receive data
    visualization of how your results compare to other people who are
    within the same diet and lifestyle group as you (having different
    results from them does not necessarily mean anything bad, it can
    just be that you have different lifestyles that make bacterial
    profile is different).   In addition, you will be provided with a
    list of the major groups of bacteria in your sample and their
    relative abundances (based at the genus level). These results are not actionable,
      and we do not provide any personalized interpretation . It will take longer than the expected 4-6 months to receive
      results if you are submitting one of the following sample types: Oral or skin samples. A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome. Note your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the British Gut Project help
      account ( info@britishgut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information/recommendations from your results. We look forward to working together on this new and exciting
      project! If you have any questions, email us at info@britishgut.org .",https://fundrazr.com/britishgut
4,"153,820",Help James McCarthy in his battle against leukemia,U.S. Dollar,, $100k ,977.0,"How you can help: Donate to James’ care: https://fundrazr.com/campaigns/f1OA33/pay Register to be a bone marrow donor: http://www.bethematch.org/ James’ Story: On Tuesday, August 7th we were leaving the house for Rita’s birthday
  dinner when we received a voicemail from James’ doctor. She said to call immediately and left her personal cell phone
    number. As we walked, James was being his usual self:
  running down Southport Ave and acting like a healthy, happy little
  boy. Forty-eight hours later, James would be in critical
  condition, on a ventilator, and fighting for his life.  Two days after
  that James was diagnosed with an extremely rare form of Leukemia. When we called the doctor back, she shared that a routine blood test
  showed James’ white blood cell count was abnormally high and she
  wanted us to get more tests done by the Leukemia and cancer
  specialists at Lurie’s Children Hospital. To put it in
  perspective, healthy children usually have a white blood cell count of
  5,000 to 10,000. James’ was at 32,000. Thursday was the soonest appointment we could get with a hematologist
  - a doctor who specializes in diseases of the blood. The
  doctors at Lurie’s confirmed that something was not right. They wanted to get a bone marrow sample to figure out what was
  going on and the quickest way to the front of the line was to have
  James admitted. At that point, there wasn’t a high level
  of concern for James’ immediate health. We spent the day
  playing with trucks, reading books, watching “gee” (Curious George)
  and looking at cars, trucks, buses and all his favorite sights of the
  city from the hospital room window. On Friday morning at 9:30 am, James underwent a procedure to extract
  a bone marrow and a bone sample from his hip. The
  doctor’s shared what they were testing for: James likely either had
  Leukemia or an auto-immune disease. Devastation. A few hours later the oncologist (cancer doctor) called us to the
  consultation room for a discussion. She shared what was
  seemingly good news. The initial blood results had ruled
  out the most common types of Leukemia, which typically make up more
  than 99% of annual childhood Leukemia diagnosis. The
  only cancer they couldn’t rule out was a very rare form of Leukemia
  called Juvenile myelomonocytic leukemia, or JMML. We
  would later learn that JMML is so rare that there are currently only
  20 kids diagnosed in the U.S. While we didn’t yet have an answer for what was affecting James, we
  cautiously celebrated the news since the other options were an auto
  immune disease or pneumonia.  We were told the rest of the tests would
  likely come back on Monday. That night James’ health rapidly deteriorated. His
  temperature spiked to 104. His heart rate was racing at
  200 beats per minute. His lungs began to fail. To help his little body the nurses and doctors put him on
  oxygen and a few IVs. While we were scared – and not
  knowing what was happening – we at least had the benefit of being able
  to talk to the doctors. James didn’t. As the night progressed, the doctor’s wanted to increase his oxygen
  to help with his lungs; and to do so, he needed to be moved to the
  Pediatric Intensive Care Unit (PICU) and only they could administer
  the higher dosage. For the next 24-hours, James would not rest; his body would not let
    him. Each time he did fall asleep, he would wake up 10
  to 20 minutes later terrified and not knowing what was happening.  His
  body was in overdrive, IVs and sensors all over his body, a tube
  inserted down his nose into his stomach – how could he understand? It was excruciating. His body was being
    overworked. He was having trouble breathing. He was not getting the rest needed. He was
  pleading with all the words he had.  “All done.” “Momma.” “Up.”
  “Outside.” It was heartbreaking and terrifying to watch
  our poor little baby so scared and so sick, feeling completely helpless. The PICU team told us what we could already see.  James’ body
  could not sustain this pace on his own, so we made the decision to
  sedate and intubate him (put on a breathing machine.) It
  was mentally impossible to hear but we knew it had to be done.  We sat
  bedside with James as he was sedated and the breathing tubes inserted
  into his lungs.  This was two days after we walked into the hospital
  with a seemingly healthy little boy. Saturday brought a new bombshell. The only piece of
  good news we had received instantly disappeared. Our
  James had JMML, the rarest type of childhood Leukemia. The doctors now suspected that James did not have pneumonia. Instead it was leukemia filling his little lungs with white
  blood cells. James’ white blood cell count accelerated
  rapidly throughout the day from 30,000 (which we previously thought
  was unimaginably high) to 50,000 to 78,000 to 90,000 to 111,000 to 128,000. Our little James was now in critical condition. Some of
  the best doctors in Chicago were working with him minute-by-minute,
  hour-by-hour to keep him going. Everything had happened
  so fast that we didn’t even have time to process one bit of news
  before we had moved onto another. But we kept in mind
  one thing: if you’ve met James, you know he is a strong-willed little
    toddler. If anyone can battle this, it’s James. While James’ lungs were responding to the breathing machine, it
  wasn’t enough.  The doctors decided to move him to a
  new ventilator that could also administer anesthesia gas in addition
  to breathing for James.  This machine had to be brought up from the
  E.R. and had only been used a few times on the PICU floor over the
  past two years. We were told James may be the sickest
  patient in the hospital (438 patients) and that he was fighting for
  his life. We were grasping for straws. The doctors told us they
  were running out of things to try. We
  discussed unproven options that had never been tried on a patient as
  young as James. We signed consent forms. Fortunately, the new machine began to stabilize James and we took
  some of those options off the table.  During “rounds” the next
  morning we counted thirteen doctors and nurses around James’ room to
  get an update on his condition.  We felt like we were in the right
  place with the right level of attention from an incredibly experienced
  medical staff. We had tremendous support from family and
  friends – all rallying around James and supporting us day and night. On Sunday, August 12th- just 5 days after receiving that urgent
  call from the doctor - James started Chemo. His chemo is
  now administered twice a day. Once for
    30-minutes. Later in the day for 4-hours. He typically also requires a blood transfusion. This is in addition to the 18-25 drips of medication he is on
  every hour. As crazy as it sounds, this is only part of the story over the past
  week. There have been other challenges with blood
  pressure, his lungs filling with carbon dioxide (CO2), scary
  challenges switching him to new medical machinery, but tough little
  James is making progress. On Wednesday the 15th he moved
  to a smaller ventilator. His white blood cells are down
  to 30,000. While still on anesthesia, James has been resting in bed with his
  night time puppy, Curious George stuffed animal and a pacifier in one
  hand and his favorite toy truck in the other. We have
  been reading James books, which is very difficult while keeping your
  emotions in check. James has a long fight in front of him. It’s scary to
  think about all the challenges ahead but right now we are focused on
  today. One step at a time, then we will tackle the next target. Ultimately, the only cure for JMML is a bone marrow transplant, in
  addition to extensive chemotherapy over the coming months until we
  find the appropriate donor match. If you want to see if
  you would be a match for James, please register at the website below. Nearly 5,000 kids will be diagnosed with Leukemia this year. There are a lot of kids like James out there whose only hope is
  to find a good donor match. You can do it from your own
  home and it’s as easy as swabbing the inside of your cheek. Please visit: http://www.bethematch.org/ You can learn more about JMML at: https://en.m.wikipedia.org/wiki/Juvenile_myelomonocytic_leukemia Please keep James in your thoughts and prayers.  He’s the
  sweetest little boy you’ll ever meet. We can’t wait to
  hear his voice again. To see his kind blue eyes. To have him blow us a kiss with a smile. I love
    you James. You can donate to James’ care at https://fundrazr.com/campaigns/f1OA33/pay",https://fundrazr.com/f1OA33
5,"1,470",Help Dylan pay for hernia surgery!,U.S. Dollar,, $10k ,9.0,"Howdy, I’m Dylan. I’m a 23 year old with two jobs working my way through art school. When
    I’m not working, I spend my spare time drawing, watching too many
    movies and quoting Star Wars at every opportunity . Since I hate asking for help myself, a friend offered to write
    something up for me. Thanks for reading. Always in motion is the future. --------------------------- Hi there, I’ve worked with Dylan for a little over a year now.
    He’s hardworking, motivated and always has everyone in tears from
    laughter. It was his drive that led him to get a second job to help
    pay for art school and have some more financial stability. His
    second job was far more physically demanding (he’s a smol boi) but
    he’s not one to let that get in the way. Unfortunately, Dylan recently sustained a pretty serious injury
    - two inguinal hernias - that are in desperate need of surgical
    repair. Due to financial constraints, he’s had to postpone two
    different surgical appointments, as well as pay for several doctor’s
    visits. While he has insurance, it isn’t covering the majority of
    the expenses he’s incurred so it’s had to come out of pocket or be
    put onto credit cards. Two months in, the debt is adding up, the
    problem is getting worse by the day and Dylan is in constant pain -
    physically and mentally. He’s having to miss work across both jobs
    on a regular basis, if not from pain caused by the hernias, because
    of crippling migraines caused by the pain and subsequent stress. Point blank, missing work means he’s not making money. Dylan
    is not someone afraid to work for what he has and what he needs. He
    is in a terrible catch-22, as money is what he desperately needs to
    get the surgery. However, his injuries have made it nearly
    impossible to do so. He has to be cautious doing the simplest tasks
    we all take for granted because every day, as he’s at risk of the
    injury becoming more severe. The doctors have suggested surgical
    repair and recovery time as soon as possible to prevent further injury. Your donations would help Dylan: - cover the initial expenses required for scheduling the
    surgery, including (but not limited to) any pre-op office visits,
    blood work, testing, exams, and covering wages lost due to missing
    work to complete those visits - cover wages lost during the minimum two week recovery time
    after the surgery (due to the nature of his jobs) to pay for bills
    and normal living expenses (i.e. rent, utilities, food, gas,
    insurances, etc) - pay for the cost of double inguinal hernia repair surgery not
    covered by insurance until he is fully recovered and bringing in
    money again - have peace of mind and be able to focus all his energy into
    recovering from his surgery, not worrying about bills or
    insurmountable debts Any and all support is greatly appreciated. If you are unable to
    support, please consider sharing this campaign. Please consider donating so we can have our goofy, fun-loving
    Dylan back. Even more, help Dylan get his life back. Emily --------------------------- P.S. Dylan here, I wanted to offer a piece of commissioned
    artwork for donors over $40 to be able to work to earn the help
    offered here while I get back on my feet. Thanks a bunch. P.S.S. Emily again, proof of medical expenses covered with funds
    raised will be available upon request from organizer. We’ll update
    the campaign as it progresses.",https://fundrazr.com/21Wedd
6,235,Cuddle Bear Book Drive for Medical City Children's in Dallas by Amber & Jacki,U.S. Dollar,, $350 ,6.0,"Everyone Needs A Hug Sometimes! Jaclyn Drexel and I are asking our friends, family, and anyone
    else that this reaches to help us give medically fragile kids and
    their families a MUCH NEEDED HUG! Our goal is 21 bears in
      FOUR DAYS!!! We are doing a Cuddle Bear Book Drive to help
    kids receiving treatment at Medical City Children’s of
    Dallas to feel comforted during trying and difficult times.
    This is an important mission to both of us. My younger brother was
    born with cancer and he spent the first couple of months of his life
    in the hospital. My son has had a history of going into breathing
    crises when he was younger, often resulting in hospital stays. It
    was during one of J’s first hospital stays that we met Jacki. She
    was one of his amazing nurses. As a prior pediatrics and oncology
    nurse, she has a HUGE heart for kids struggling with their health.
    We decided that giving cuddly bears and sweet books was one way we
    could give back - with your help of course! Why a Cuddle Bear Books Drive? Usborne Books & More has these amazing book and plush sets
    for babies and kids; the book is all about bringing comfort through
    hugs. When given together as a gift, the plush bears and books help
    to bring those hugs to life! Jacki and I will be accepting monetary
    donations to purchase as many Cuddle Bear sets as possible - our
    goal is 21 sets! Here’s the BEST PART , once we
    raise $250 Usborne Books and More matches our donation at 50%! Each
    book and plush combo costs $25. That means, if you sponsor 2 kids by
    donating $50, an additional set will be donated and 3 kids will get
    these sweet and comforting Cuddle Bears! But wait, THERE’S MORE , on top of the Cuddle
    Bear sets that will be hand delivered to Medical City Children’s
    Hospital to brighten the day of the kids receiving treatment,
    Usborne Books & More will ALSO DONATE 5% of
    each Cuddle Bear set purchase to The Scott Carter
    Foundation to go towards pediatric cancer research. Please consider helping us reach our goal of 21 Cuddle
      Bear Sets : monetary donations for 14 sets equals a total
    of $350 (the remaining 7 will be donated by Usborne Books & More
    when we meet this goal)! You have the power to help us make a difference in a child’s life! $25 - Sponsor 1 Child $50 - Sponsor 2 Children (PLUS 1 thanks to Usborne Books & More) $100 - Sponsor 4 Children (PLUS 2 thanks to Usborne Books
    & More) **You do NOT have to donate the full $25 to sponsor an entire
      set, donations of ANY size will help us meet our goal!**",https://fundrazr.com/c1XBq9
7,534,The Big Sunflower Project,Pound Sterling,, £1k ,61.0,"The Big Sunflower Project has given away sunflower seeds since 2011
  to raise awareness of the rare neuromuscular condtions known as
  centronuclear and myotubular myopathy. The project aims to get as many people as possible growing
  sunflowers each year, with seeds now being sent to schools and
  nurseries, community groups, groups who work with disadvantaged
  people, hospices and youth groups to name a few, so as well as raising
  awareness of centronuclear and myotubular myopathy, the project
  supports the activities of these groups too. Further information about The Big Sunflower Project can be found below. About the project: https://thebigsunflowerproject.wordpress.com/ How it all began: https://thebigsunflowerproject.wordpress.com/how-it-all-began/ The Big Sunflower Project on Facebook: https://www.facebook.com/groups/406061643077357/ A review of The Big Sunflower Project 2018 https://thebigsunflowerproject.com/centronuclear-and-myotubular-myopathy/http://centronuclear.org.uk/theinformationpoint/newsletters/2017/2017-02/the-big-sunflower-project.html The project does not charge for seeds or postage but admin costs for
  the project are high and FundRazer is used to allow those who would
  like to make a donation to do so. In 2019 the cost of sunflower seeds came to £144.40, the cost of
  the second class large stamp which is required to post the seeds is
  79p (£294.94 was spent on postage in total) and the cost of envelopes
  was £22.35. Donations can be for as little as £1, so if you like what we do or
  have benefited from the project in some way, please consider
  supporting our work. Any funds raised via FundRazer will be used to
  cover the admin costs of the project - stamps, envelopes and sunflower
  seeds when it is not be possible to get these donated.",https://fundrazr.com/a139J1
8,"1,135",Mom's on a roll now! Changes wont keep me down #Alinkerwalkingbike,Canadian Dollar,, $2.8k ,20.0,"Hi, I'm Alicia and I am a mom! It's an amazing thing to be a mother.
  My first was an ""opps"", I was told i would never get
  pregnant without IVF. So clearly the best most welcomed
  ""opps"" in history. He is 10 now. Brilliant, funny, sweet
  inspiration and inspired himself to be an entrepreneur and a
  scientist. 5 years of fertility treatment later came my daughter. She
  is a ball of energy strong willed fierce little beast. She will one
  day rule the world. Hopefully it won't be post-apocalyptic but if it
  is be sure she'll save the cats! Like most women with MS who are also
  mothers with each of my my children came more symptoms. After my son
  was born the doctors were so surprised to see a case of
  pregnancy-related carpal tunnel after the baby was born. And the leg
  drop symptoms were attributed to my first epidural coming out of my
  back and the second one not working. Fast forward 2 years and moving
  across country with the 18 month old. I had a stress induced bout of
  optic neuritis. I was told that ""losing my sight in my right eye
  was a great thing because it made it so much easier for them to
  diagnose my MS""! Luckily after my first round of steroid
  infusions my sight came back. I get to see my beautiful children and
  be reminded of what a blessing it is to have your sight. Now I'm not
  going to say I want to lose my hearing but some days I would be okay
  with that but my sight is so valuable to me even more so having had
  the experience of not known if I was going to keep it completely.
  (While trying to write this my kids have been arguing about how to
  break out of prison, they are playing video games together, the
  Miracle of summer break)! Fast forward a few more years, a few more moves around the country
  (Indiana, Massachusetts, Ohio, Massachusetts, Maryland). If you cant
  tell im from Massachusetts where all my family is. I reset for
  strength and the typical East Coast uptight boss b**** that i was born
  to be. Thanks to my grandmother who was a twin born on Halloween who
  later gave birth to 7 daughters who all run the show. I cant go back
  to live in Boston. My marriage has come to an end. I cant move out of
  state without risking loosing custody. Not being able to share a bed
  because if you accidentally touch someone's legs they cry and just not
  being the nurturing type takes it's toll. We may say ""in sickness
  and in health"" but no one really thinks of what that actually
  means. No one plans to be sick or have a partner who becomes sick.
  There is no what to expect when your wife has MS book. Hell there's no
  what to expect when I have MS book. You can't even get a doctor to
  answer a question half the time because of the answer is always
  ""MS is different for everyone"". Talk about infuriating! So
  now im a single mom living in Maryland below the Mason-Dixon line the
  HOT humid south. Being a white woman over 35 getting divorced has its perks. Welcome
  to the crazy cat lady phase of life!! Before I could only have 2 cats.
  Right now in my house is 9! Like the number of lives they say cats
  have! I actually started a small cattery with my children Assassin
  Kitty Cattery, kittens so cute they kill. We are all about drop dead
  adorable cats. It has given me and the kids something to focus on
  other than divorce, we have a common goal and family focus. My son is
  Mr. Science so its been an awesome  experiment for him as well. We
  breed Scotish Kilts a cross between munchkins and Scottish Folds. They
  track how many are folded, short, both or just cats. They have been a
  blessing to us during this transition. I even groom them myself, I've
  mastered the lion cut. I actually hope to get a license in pet
  grooming with the help of the Alinker. Motherhood, multiple sclerosis, and divorce are all things that came
  at me out of left feild (although motherhood was always wanted). I've
  been doing my best to keep rolling with the punches and stay me and
  keep growing and evolving with and to my circumstances. Even started
  driving for Lyft and Uber to pay the bills. I was voted best driver in
  Baltimore in my first year! But that has taken a toll on me and I need
  to get back at my drawing board and roll on. I'm hoping to live my
  passion for food and healthy baking and create my own breed of cats
  and even start trying some open mic nights at some comedy spots. It's
  strange how the more that things get thrown at you, the more freedom
  you can feel. I fell so much gratitude for the things that I do have
  and appreciation for the good times. Im ready to get out and own my
  world and my life and make it the best it can possibly be. I look
  forward to my new partner in crime too, hello crazy yellow banana Alinker! One of the most humbling things about having MS is having to ask for
  help. It gets easier and the gratitude grows too. Im thankful for what
  i can still do but im greatful for all who are willing to help take
  some of the load from time to time. Thanks for taking the time to know me a little. Alicia",https://fundrazr.com/Mommasonaroll
9,"33,304",Helping Heidi with Cancer Treatments,U.S. Dollar,, $100k ,222.0,"For those that don’t know me I’m Heidi! For everyone else, Hi! And, if you haven’t heard already, please visit my website at https://peanutbutterandcancer.com/ for the full shebang. For those of you that may not be able to visit the website... Here’s the skinny. I have brain cancer. I know what you’re feeling, shock, me too
    when I first found out. It started when I was in North Carolina visiting my mom who was
    having a benign brain tumor removed on October 18th. (She’s
    recovering great.) While there, I began having some difficulty
    reading, super aggressive vomiting, and ultimately a raging
    headache. This lasted for a couple of days. My Nanny fortuitously
    took me to the ER in our hometown to, at the very least, get some
    fluids. During that visit, the docs did a CT scan which showed
    evidence of pressure on my brain and the team recommended further
    testing. So I flew back to Denver, CO on October 23. Noah (my
    husband) and I went to Porter ER for follow up. An MRI revealed a
    mass in my brain and they suggested immediate surgery. On 10/25 I
    underwent a successful surgery to remove the visible portions of the
    25mm mass and the tissue was sent out for testing. I was released
    from the hospital on 10/28. On November 1st, I found
    out I have the deadliest of all 120 types of brain tumors, Stage 4
    Glioblastoma (GBM). And... about 3 weeks ago we received some exciting news.  I tested
  positive for cytomegalovirus (CMV).  Which means the CVM is
    found in 60% of all GBMs.  It's also found in the stem cells of all
    GBMs.  This gives us reason to think the cause of the cancer could
    be from a virus. Which we are currently treating with antiviral
    medications. So, in a world of medicine that's not quite sure what
    to do with GBMs, this gives us a place to start. So, we got some fighting to do, huh? Here’s what treatment looks like. First I radically changed my diet (bye bye sugar and peanut butter) Then we started taking every supplement under the sun that is
    rumored to have anti-cancer properties. After consulting our naturopathic oncologist and nutritionist,
    we've narrowed down what supplements work for me.  Luckily, I've
    been able to take less pills. Yay! We've done the radiation and the first round of chemo. I'll
    still be doing small doses of chemo for the next 6 months. I’ve also been doing a number of alternative and spiritual
    treatments: sound bath, reiki, acupuncture Soon I’ll be starting Optune. (This is the part where I shave my
  head). You can check it out here if you want more info ... https://www.optune.com/ This is what I'll look like with the Optune on What I need from you. Send positive vibes. If you believe in Quantum Physics, you know
    energy can heal. Forward any contacts or resources you may have surrounding
    successful GBM treatments. Consider a monetary donation. Unfortunately, stupid cancer isn't
    cheap. GBM is like a needy, expensive house guest that doesn't know
    when to leave. If you feel compelled to donate, we appreciate your contribution.",https://fundrazr.com/pbandcancer
